,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Название чая,Чай в наличии (грамм),Остаток чая (грамм),Цена доставки за грамм в долларах,Цена закупки в Китае за грамм в долларах,Себестоимость чая за грамм,Цена продажи в Украине за грамм в долларах,Продажа чая вес,Дата продажи,Сумма продажи в долларах,Возврат вложенных средств в долларах,С,М
,,Шен Пуер Цан Ейр,"900,00","200,00","0,008302","0,017250","0,025552","0,075410","100,00",5/5/2024,"7,54","2,56","2,49","2,49"
,,,,,,,,,"100,00",17.08.2024,"7,54","2,56","2,49","2,49"
,,,,,,,,,"100,00",05.09.2024,"7,54","2,56","2,49","2,49"
,,,,,,,,,"100,00",05.09.2024,"7,54","2,56","2,49","2,49"
,,,1. Фиолетовый кирпич,,,,,,"100,00",06.04,"7,54","2,56","2,49","2,49"
,,,2. Белый Облачный Чай Юнбай ,,,,,,"200,00",13.06.2025,"15,08","5,11","4,99","4,99"
,,,3. Баотский чай BT5188,,,,,,,,"0,00","0,00","0,00","0,00"
,,,4. Сягуань СяоФа Точа 2023,,,,,,,,"0,00","0,00","0,00","0,00"
,,,5. Тулин-феникс-T813,,,,,,,,"0,00","0,00","0,00","0,00"
,,,6. Тулин-феникс-T812,,,,,,,,"0,00","0,00","0,00","0,00"
,,,7. Сягуаневский-гриб-2017,,,,,,,,"0,00","0,00","0,00","0,00"
,,,8. Тулин-феникс-8504,,,,,,,,"0,00","0,00","0,00","0,00"
,,,9. Шу пуэр Му Е Чунь Вино чайных листьев ,,,,,,,,"0,00","0,00","0,00","0,00"
,,,10. Тулин-феникс-803,,,,,,,,"0,00","0,00","0,00","0,00"
,,,11. Цен Эйр 2016 Сягуань,,Віра баня ,,,,,,"0,00","0,00","0,00","0,00"
,,,12. Я бао,,,,,,,,"0,00","0,00","0,00","0,00"
,,,13. Лунный свет,,,,,,,,"0,00","0,00","0,00","0,00"
,,,14. Лунный Свет от Цайченг,,,,,,,,"0,00","0,00","0,00","0,00"
,,,15. Молочный Улун,,,,,,,,"0,00","0,00","0,00","0,00"
,,,16. Лишань Холодный чай,,,,,,,,"0,00","0,00","0,00","0,00"
,,,17. Волосатый краб,,,,,,,итого,"52,79","17,89","17,45","17,45"
,,,"18. обжаренный на угле, Тегуаньинь",,,,,,,,,,,
,,,19. КуГуаТеГуаньИнь улун запеченный в горькой дыни,,,,,,,,,,,
,,,20. Смола Шу ПуЭра ,,,,,,,,,,,
,,,21. Да Хун Пао Фруктовый фермерский от Доктор Лин ,,,,,,,,,,,
,,,22. Бай Цзи Гуань Белый петушиный гребень,,,,,,,,,,,
,,,23. Шуй Цзинь Гуй Золотая Водяная Черепаха,,,,,,,,,,,
