,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Название чая,Чай в наличии (грамм),Остаток чая (грамм),Цена доставки за грамм в долларах,Цена закупки в Китае за грамм в долларах,Себестоимость чая за грамм,Цена продажи в Украине за грамм в долларах,Продажа чая вес,Дата продажи,Сумма продажи в долларах,Возврат вложенных средств в долларах,С,М
,,Я бао  ,"2000,00","1325,00","0,008302","0,018695","0,026997","0,058960","100,00",6/1/2024,"5,90","2,70","1,60","1,60"
,,,,,,,,,"50,00",03.08.2024,"2,95","1,35","0,80","0,80"
,,,,,,,,,"100,00",07.10.2024,"5,90","2,70","1,60","1,60"
,,,,,,,,,"100,00",25.12.2024,"5,90","2,70","1,60","1,60"
,,,1. Фиолетовый кирпич,,,,,,"10,00",26.05.2025,"0,59","0,27","0,16","0,16"
,,,2. Белый Облачный Чай Юнбай ,,,,,,"215,00",30.05,"12,68","5,80","3,44","3,44"
,,,3. Баотский чай BT5188,,,,,,"50,00",12.05.2025,"2,95","1,35","0,80","0,80"
,,,4. Сягуань СяоФа Точа 2023,,,,,,"50,00",04.05.2025,"2,95","1,35","0,80","0,80"
,,,5. Тулин-феникс-T813,,,,,,,,"0,00","0,00","0,00","0,00"
,,,6. Тулин-феникс-T812,,,,,,,,"0,00","0,00","0,00","0,00"
,,,7. Сягуаневский-гриб-2017,,,,,,,,"0,00","0,00","0,00","0,00"
,,,8. Тулин-феникс-8504,,,,,,,,"0,00","0,00","0,00","0,00"
,,,9. Шу пуэр Му Е Чунь Вино чайных листьев ,,,,,,,,"0,00","0,00","0,00","0,00"
,,,10. Тулин-феникс-803,,,,,,,,"0,00","0,00","0,00","0,00"
,,,11. Цен Эйр 2016 Сягуань,,,,,,,,"0,00","0,00","0,00","0,00"
,,,12. Я бао,залишилось1579 гр.,100гр.Артурчик,,,,,,"0,00","0,00","0,00","0,00"
,,,13. Лунный свет,,,,,,,,"0,00","0,00","0,00","0,00"
,,,14. Лунный Свет от Цайченг,,,,,,,,"0,00","0,00","0,00","0,00"
,,,15. Молочный Улун,,,,,,,,"0,00","0,00","0,00","0,00"
,,,16. Лишань Холодный чай,,,,,,,,"0,00","0,00","0,00","0,00"
,,,17. Волосатый краб,,,,,,,итого,"39,80","18,22","10,79","10,79"
,,,"18. обжаренный на угле, Тегуаньинь",,,,,,,,,,,
,,,19. КуГуаТеГуаньИнь улун запеченный в горькой дыни,,,,,,,,,,,
,,,20. Смола Шу ПуЭра ,,,,,,,,,,,
,,,21. Да Хун Пао Фруктовый фермерский от Доктор Лин ,,,,,,,,,,,
,,,22. Бай Цзи Гуань Белый петушиный гребень,,,,,,,,,,,
,,,23. Шуй Цзинь Гуй Золотая Водяная Черепаха,,,,,,,,,,,
