,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Название чая,Чай в наличии (грамм),Остаток чая (грамм),Цена доставки за грамм в долларах,Цена закупки в Китае за грамм в долларах,Себестоимость чая за грамм,Цена продажи в Украине за грамм в долларах,Продажа чая вес,Дата продажи,Сумма продажи в долларах,Возврат вложенных средств в долларах,С,М
,,Те Гуань Інь Мао Ча,"2000,00","1410,00","0,008302","0,017720","0,026022","0,076900","250,00",,"19,23","6,51","6,36","6,36"
,,,,,,,,,"30,00",06.04.2025,"2,31","0,78","0,76","0,76"
,,,,,,,,,"10,00",26.05.2024,"0,77","0,26","0,25","0,25"
,,,,,,,,,"250,00",13.06.2025,"19,23","6,51","6,36","6,36"
,,,1. Фиолетовый кирпич,,,,,,"50,00",04.05.2025,"3,85","1,30","1,27","1,27"
,,,2. Белый Облачный Чай Юнбай ,,,,,,,,"0,00","0,00","0,00","0,00"
,,,3. Баотский чай BT5188,,,,,,,,"0,00","0,00","0,00","0,00"
,,,4. Сягуань СяоФа Точа 2023,,,,,,,,"0,00","0,00","0,00","0,00"
,,,5. Тулин-феникс-T813,,,,,,,,"0,00","0,00","0,00","0,00"
,,,6. Тулин-феникс-T812,,,,,,,,"0,00","0,00","0,00","0,00"
,,,7. Сягуаневский-гриб-2017,,,,,,,,"0,00","0,00","0,00","0,00"
,,,8. Тулин-феникс-8504,,,,,,,,"0,00","0,00","0,00","0,00"
,,,9. Шу пуэр Му Е Чунь Вино чайных листьев ,,,,,,,,"0,00","0,00","0,00","0,00"
,,,10. Тулин-феникс-803,,,,,,,,"0,00","0,00","0,00","0,00"
,,,11. Цен Эйр 2016 Сягуань,,,,,,,,"0,00","0,00","0,00","0,00"
,,,12. Я бао,,,,,,,,"0,00","0,00","0,00","0,00"
,,,13. Лунный свет,,,,,,,,"0,00","0,00","0,00","0,00"
,,,14. Лунный Свет от Цайченг,,,,,,,,"0,00","0,00","0,00","0,00"
,,,15. Молочный Улун,,,,,,,,"0,00","0,00","0,00","0,00"
,,,16. Лишань Холодный чай,,,,,,,,"0,00","0,00","0,00","0,00"
,,,17. Волосатый краб,плюс 250 гр.,10 гр. Ремесленнікова,50 гр. Світланка 50гр.Артурчик, Віра баня,,,итого,"45,37","15,35","15,01","15,01"
,,,"18. обжаренный на угле, Тегуаньинь",,,,,,,,,,,
,,,19. КуГуаТеГуаньИнь улун запеченный в горькой дыни,,,,,,,,,,,
,,,20. Смола Шу ПуЭра ,,,,,,,,,,,
,,,21. Да Хун Пао Фруктовый фермерский от Доктор Лин ,,,,,,,,,,,
,,,22. Бай Цзи Гуань Белый петушиный гребень,,,,,,,,,,,
,,,23. Шуй Цзинь Гуй Золотая Водяная Черепаха,,,,,,,,,,,
